Fact,2007-12-29,2008-12-27,2009-06-27,2009-09-26,2009-12-26,2010-03-27,2010-05-12,2010-06-26,2010-09-25,2010-12-25,2011-03-26,2011-06-25,2011-06-26,2011-09-24,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-02-28,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-05-13,2014-05-31,2014-06-28,2014-09-22,2014-09-27,2014-12-27,2015-02-24,2015-02-28,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-05-31,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2017-12-31,2018-03-31,2018-06-08,2018-06-30,2018-09-29,2018-10-31,2018-12-29,2019-01-01,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-24,2022-12-31,2023-02-28,2023-04-01,2023-07-01,2023-09-30,2023-12-30,2024-03-30,2024-06-29,2024-09-28,2024-12-28
AllowanceForDoubtfulAccountsReceivableNoncurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,,,,,,10953,,,,,8741,,,,417,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlternativeInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575298000,,,,,,,441990000,,,,,566008000,,,,,,,,,,,,,,,,,,,,,,
AlternativeInvestmentsFairValueDisclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512945000,,,,,484287000,,,,575298000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,14833000,3545000,3624000,3582000,14332000,,4238000,3458000,3750000,15233000,4103000,,,4634000,,4702000,18414000,,,4913000,4737000,4507000,18339000,3995000,,4078000,3964000,15935000,3863000,3903000,4025000,15911000,,3883000,,3572000,3721000,,15328000,,4390000,4632000,4484000,18087000,4593000,4511000,4518000,18147000,4232000,5182000,6137000,21320000,5849000,5531000,5386000,,22120000,,5190000,5225000,5191000,19455000,3715000,3356000,3112000,14214000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,,338000,,,,,322000,,,,,221000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,255000000,,,455153000,403867000,8000000,8962000,16828000,,218007000,20000000,0,0,0,137000000,,0,1172000,1172,1200,1172000,,,,,273170000,449000,,,452103,452459,426338,426388,403407,,381973,197303,197303,147554,84712,0,0,,147554,,145105,190021,,406806,,297412,297170,177153,130704,302899,296490,296966,0,0,0,0,47223,47223,47223,0,,40564,,40564,40564000,42774,127774,73003,56261000,22600000,44620
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,,9292000,15200000,41970000,,,,0,0,,0,,0,,,,6084000,15780000,,15780000,,,,0,0,,,,,,,,27900000,,,0,,27900000,,,,140844000,,,,,
Assets,,,,,1302139000,,,2029557000,2059370000,2090743000,2179543000,2223280000,,2209177000,2306076000,2382969000,2396749000,2494460000,2568551000,,2617244000,2651623000,2748520000,2776494000,2885866000,,,2858604000,,2862721000,2721955000,,,2584130000,2567392000,2489701000,2392382000,2399862000,,2395873000,2384043000,2391731000,2466888000,2523162000,2610171000,2602250000,,2618064000,,2779361000,2563078000,,2583894000,,2645987000,2711739000,2725442000,2807216000,2757579000,2831842000,2923910000,2953160000,3008076000,3404136000,3411264000,3447249000,3581483000,3674752000,3621729000,,3556996000,,3604492000,3615840000,3486179000,3477448000,3465381000,3457202000,3496828000,3329972000
AssetsCurrent,,,,,715422000,,,1062885000,1085475000,1094226000,1168384000,1211753000,,1227912000,1252943000,1300592000,1332819000,1409807000,1425940000,,1470486000,1519406000,1601253000,1597840000,1558561000,,,1519728000,,1536784000,1392941000,,,1302905000,1289851000,1279488000,1226852000,1252838000,,1267292000,1274265000,1253216000,1331273000,1376207000,1448123000,1472565000,,1523343000,,1715092000,1362390000,,1340640000,,1298900000,1347998000,1388404000,1432224000,1414426000,1479819000,1558146000,1554625000,1607636000,1595274000,1614773000,1712763000,1840575000,1856647000,1850074000,,1780585000,,1815499000,1802182000,1807427000,1787629000,1779571000,1784035000,1807159000,1683392000
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72665000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AssetsHeldForSaleNotPartOfDisposalGroupCurrentOther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,72665000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageSalesPrices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BankOverdrafts,,,,,,,,,,11952000,,,,,21214000,,,,23321000,,,,,21713000,,,,,,,18038000,,,,,,15536000,,,,,18734000,,,,21537000,,,,,,,8888000,,,,,13971000,,,,16979000,,,,19670000,,,,,25075000,,,,,19869000,,,,23492000
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,,,,,,,,,,8.79,,2.96,3.44,2.25,,,,,2.4,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,,,,,6.75,,,,6.75,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,,,,,,234847000,,79433000,92791000,60549000,,,,,64525000,,189391000,,,,,,,,,,,,,,,,,,,,,,,103370000,,36342000,,,146941000,,,,146941000,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,,,,,,,3144054000,,867855000,929722000,827374000,,,,,858068000,,3201947000,,,,,,,,,,,,,,,,,,,,,,,2801326000,,694558000,,,2772150000,,,,2772150000,,,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16591000,,,,-16591000,,,,,,,-16591000,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashAcquiredFromAcquisition,,,,,,,,198810000,198810000,198810000,,-1539000,,-1539000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,106532000,68567000,96262000,129844000,180786000,109987000,,314373000,323150000,346904000,358271000,326790000,,336908000,362894000,339568000,328381000,427080000,414129000,,419996000,490477000,543369000,613706000,488195000,,,455927000,,349074000,371579000,,,318366000,317523000,399948000,349074000,387714000,,344346000,349375000,399948000,425216000,448222000,493490000,492805000,,479663000,,722588000,295622000,,313210000,,211237000,256944000,327200000,353542000,294645000,353348000,443055000,400726000,391458000,199285000,169795000,177232000,149700000,154579000,166221000,,185406000,,172948000,166907000,172566000,203041000,169195000,163142000,200477000,164315000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-37965000,27695000,61277000,112219000,-70799000,,133587000,142364000,166118000,11367000,-20114000,,,15990000,,,,51235000,,5867000,76348000,129240000,199577000,-125511000,,,-157779000,,-161488000,-242127000,,,-53213000,-54056000,-58728000,-22505000,38640000,,-4728000,301000,50874000,12700000,48274000,93542000,92857000,,-13142000,,229783000,-197183000,,-179595000,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349074000,,,,,413600000,,,,492805000,,479663000,,722588000,295622000,,313210000,,211237000,256944000,327200000,353542000,294645000,353348000,443055000,400726000,391458000,199285000,169795000,177232000,149700000,154579000,166221000,,185406000,,172948000,166907000,172566000,203041000,169195000,163142000,200477000,164315000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79205000,,-13142000,,229783000,-197183000,,-179595000,,-101973000,-56266000,13990000,40332000,-58897000,-194000,89513000,47184000,-9268000,-201441000,-230931000,-223494000,-27532000,-22653000,-11011000,,8174000,,-12458000,-18499000,-12840000,17635000,-33846000,-39899000,-2564000,-38726000
CashDividendsPaidToParentCompanyByUnconsolidatedSubsidiaries,,,,,,,,,9606000,10125000,,,,590000,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareCashPaid,,0.495,0.28,0.43,0.58,0.15,,0.315,0.48,0.645,0.165,0.18,,0.525,0.705,,,,0.855,,,,,0.975,,,,,,,1.375,,,,,,1.5,,,,,1.5,,,,1.5,,,,,,,1.5,,,,,1.5,,,,1.8,,,,2,0.55,0.55,0.55,,2.2,,0.6,0.6,0.6,2.4,0.6,0.6,0.6,2.4
CommonStockDividendsPerShareDeclared,,0.495,0.15,0.15,0.58,0.15,,0.165,0.165,0.645,0.165,0.18,,0.18,0.18,0.18,0.225,0.225,0.225,,0.225,0.25,0.25,0.25,0.25,,,0.375,,0.375,0.375,,,0.375,0.375,0.375,0.375,0.375,,0.375,0.375,0.375,0.375,0.375,0.375,0.375,,0.375,,0.375,0.375,,0.375,,0.375,0.375,0.375,0.375,0.45,0.45,0.45,0.45,0.5,0.5,0.5,,0.55,0.55,0.55,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,,,,,1,,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1
CommonStockSharesAuthorized,,,,,75000000,,,75000000,75000000,75000000,75000000,75000000,,75000000,75000000,75000000,75000000,75000000,75000000,,75000000,75000000,75000000,75000000,75000000,,,75000000,,75000000,75000000,,,75000000,75000000,75000000,75000000,75000000,,75000000,75000000,75000000,75000000,75000000,75000000,75000000,,75000000,,75000000,75000000,,75000000,,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000,,75000000,,75000000,75000000,75000000,75000000,75000000,75000000,75000000,75000000
CommonStockSharesIssued,,,,,27900000,,,27900000,27900000,27900000,27900000,27900000,,27900000,27900000,27900000,27900000,27900000,27900000,,27900000,27900000,27900000,27900000,27900000,,,27900000,,27900000,27900000,,,27900000,27900000,27900000,27900000,27900000,,27900000,27900000,27900000,27900000,27900000,27900000,27900000,,27900000,,27900000,27900000,,27900000,,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,,27900000,,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000
CommonStockValue,,,,,27900000,,,27900000,27900000,27900000,27900000,27900000,,27900000,27900000,27900000,27900000,27900000,27900000,,27900000,27900000,27900000,27900000,27900000,,,27900000,,27900000,27900000,,,27900000,27900000,27900000,27900000,27900000,,27900000,27900000,27900000,27900000,27900000,27900000,27900000,,27900000,,27900000,27900000,,27900000,,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,,27900000,,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000
ComprehensiveIncomeNetOfTax,,,,,168048000,,,,,141071000,47113000,51937000,,-7350000,228715000,79107000,31733000,81293000,213958000,,64130000,40045000,75816000,172459000,68155000,,,77282000,,-26308000,97228000,,,-25032000,46569000,-39433000,-92668000,34376000,,39378000,30663000,94091000,59085000,66118000,52905000,183577000,,41674000,,-1577000,-6940000,,77607000,,40549000,35387000,24401000,136171000,8483000,37989000,49494000,144329000,57244000,86231000,24863000,242289000,93278000,20084000,32176000,,239081000,,83316000,99907000,-75058000,152522000,65847000,81098000,114737000,288720000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,3379000,,,,,9042000,3242000,3046000,,-2418000,7011000,5014000,-2533000,2958000,6079000,,-1640000,-1549000,2156000,9174000,-88000,,,1792000,,-89000,2520000,,,-1327000,1968000,-847000,832000,2327000,,1787000,1618000,6144000,-241000,2223000,2570000,5529000,,4747000,,1114000,2389000,,8584000,,1109000,983000,1297000,5505000,297000,130000,1358000,3428000,-486000,1573000,-268000,976000,1688000,-932000,-242000,,2073000,,-1902000,-233000,-1098000,-4785000,450000,1269000,-138000,1689000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,121878000,92164000,140572000,171427000,9757000,,1114000,73510000,150113000,50355000,54983000,,-9768000,235726000,84121000,29200000,84251000,220037000,,62490000,38496000,77972000,181633000,68067000,,,79074000,,-26397000,99748000,,,-26359000,48537000,-40280000,-91836000,36703000,,41165000,32281000,100235000,58844000,68341000,55475000,189106000,,46421000,,-463000,-4551000,,86191000,,41658000,36370000,25698000,141676000,8780000,38119000,50852000,147757000,56758000,87804000,24595000,243265000,94966000,19152000,31934000,,241154000,,81414000,99674000,-76156000,147737000,66297000,82367000,114599000,290409000
ContractWithCustomerAssetNetCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16165000,67672000,,,92585000,112620000,,112525000,,119886000,123926000,120376000,141322000,144777000,125004000,113254000,123495000,117539000,140146000,155417000,142643000,161633000,200522000,215684000,,174539000,,159785000,154410000,169931000,175721000,191483000,191846000,183085000,187257000
ContractWithCustomerLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117945000,,,153619000,170919000,194427000,252676000,203198000,213203000,221348000,217698000,200488000,,178531000,,156483000,124380000,88600000,70978000,,,135950000,130696000
ContractWithCustomerLiabilityCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,4669,5088,,4906000,,6420000,66128000,123878000,117945000,151034000,138820000,116470000,130018000,150068000,156481000,138286000,135746000,168794000,175814000,200341000,,172915000,,156333000,124230000,88600000,70978000,84041000,68811000,100150000,126932000
ContractWithCustomerLiabilityRevenueRecognized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824000,,1632000,0,,5222000,,1030000,897000,314000,3921000,18240000,21037000,16333000,74319000,38102000,31267000,18981000,105406000,28023000,31149000,16826000,,96373000,,58939000,41217000,49644000,162182000,34279000,,5269000,53819000
CostOfGoodsAndServicesSold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865433000,,529457000,517185000,2064199000,,529444000,,507406000,514352000,,2088972000,,527512000,522695000,517053000,2084295000,487951000,504871000,543223000,2129841000,570332000,664982000,641378000,2617686000,731634000,842931000,811904000,,3219026000,,753896000,716899000,735184000,2938564000,671612000,719455000,718482000,2833822000
CostOfGoodsSold,,1314272000,,,1177427000,248643000,,332290000,374678000,1290446000,385000000,447167000,,453462000,1788908000,482708000,519438000,488739000,2032030000,,529161000,563306000,499190000,2144942000,497843000,,,573067000,,515217000,2118687000,,,459541000,461173000,427688000,1804055000,393492000,,418072000,409003000,1682355000,426847000,477174000,462854000,1860087000,,476264000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,,1396794000,354129000,297652000,1254587000,266672000,,352913000,395310000,1455931000,431456000,500627000,,504802000,1994670000,531036000,567920000,537437000,2227085000,,584261000,617188000,552468000,2358983000,544758000,,,622122000,,566168000,2315026000,,,504944000,512575000,475824000,1997891000,435636000,,465132000,455224000,1865433000,472868000,529457000,517185000,2064199000,,529444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfServices,,82522000,,,77160000,18029000,,20623000,20632000,165485000,46456000,53460000,,51340000,205762000,48328000,48482000,48698000,195055000,,55100000,53882000,53278000,214041000,46915000,,,49055000,,50951000,196339000,,,45403000,51402000,48136000,193836000,42144000,,47060000,46221000,183078000,46021000,52283000,54331000,204112000,,53180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9771000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CumulativeEffectOnRetainedEarningsNetOfTax1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40215000,442,8444,8444000,8444000,8444000,,,,,,,,,,,,,,,,,,,,,,
CurrentFederalTaxExpenseBenefit,,,,,43497000,,,,,21900000,,,,,53005000,,,,81000000,,,,,110847000,,,,,,,52588000,,,,,,23130000,,,,,41539000,,,,49324000,,,,,,,21106000,,,,,27809000,,,,30431000,,,,30031000,,,,,48309000,,,,,42226000,,,,84110000
CurrentForeignTaxExpenseBenefit,,,,,16618000,,,,,23919000,,,,,29287000,,,,32294000,,,,,39285000,,,,,,,32443000,,,,,,15077000,,,,,19123000,,,,12880000,,,,,,,17559000,,,,,13130000,,,,12730000,,,,20644000,,,,,48273000,,,,,56107000,,,,42150000
CurrentIncomeTaxExpenseBenefit,,74715000,19266000,22779000,65519000,6706000,,17252000,15694000,49991000,12504000,24533000,,25119000,89552000,27029000,35985000,27928000,122782000,,38660000,48210000,40458000,167922000,32938000,,,26117000,,23290000,89643000,,,11774000,19136000,6746000,42569000,10514000,,22745000,18017000,65748000,1298000,27803000,21163000,66390000,,7713000,,16724000,10777000,,44794000,,2640000,17353000,11675000,46267000,6309000,21645000,14968000,51012000,8547000,25413000,21109000,61343000,22413000,27620000,33278000,,109912000,,24356000,37791000,29654000,108770000,19644000,40961000,46133000,142633000
CurrentStateAndLocalTaxExpenseBenefit,,,,,5681000,,,,,3527000,,,,,8915000,,,,10342000,,,,,16398000,,,,,,,5059000,,,,,,4431000,,,,,5467000,,,,4415000,,,,,,,6585000,,,,,5568000,,,,8302000,,,,8891000,,,,,11888000,,,,,8480000,,,,17738000
DebtInstrumentFaceAmount,,,,,,,,,,,,150000000,,,,,,,,,,,,,,,,,,,250200000,,,,,,250200000,,,,,250200000,,,,250200000,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentIncreaseAdditionalBorrowings,,,,,,,,,,,,150000000,150000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,0.01,,,,0.02,,,,,,,0.03,,,,,0.0273,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentRedemptionPricePercentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentRepurchasedFaceAmount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedPremium,,,,,,,,,,,,14770000,,14437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtIssuanceCosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24200000,24200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24171000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,38705000,38705000,,,,,0,0,,,,,0,,,0,0,,,,,14820000,,14820000,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
DeconsolidationGainOrLossAmount,,,,,,,,,,,,,,,,,,,,,,,,-12011000,,,,,,,24200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredCompensationArrangementWithIndividualDistributionPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2672000,,,,,,,2352000,,,,,8335000,,,,5067000,,,,8900000,,,,,4691000,,,,,5476000,,,,5467000
DeferredCompensationArrangementWithIndividualDistributionsPaid,,,,,,,,,,,,,,,322000,,,,250000,,,,,1626000,,,,,,,1519000,,,,,,2439000,,,,,5317000,,,,2672000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredCompensationLiabilityClassifiedNoncurrent,,,,,20503000,,,22704000,23455000,23300000,30469000,31130000,,29401000,30741000,33348000,32817000,34320000,31920000,,37693000,37117000,38917000,39109000,46502000,,,48292000,,48014000,47932000,,,51027000,51056000,48637000,48417000,48456000,,48965000,47783000,44319000,46567000,47799000,48612000,48526000,,48597000,,48118000,48174000,,46107000,,49615000,49445000,43837000,45114000,42894000,45736000,42587000,44519000,45513000,45115000,34723000,35373000,36469000,33778000,28754000,,30316000,,33885000,34938000,30801000,32623000,33148000,32550000,33499000,33302000
DeferredCompensationPlanAssets,,,,,,,,,,18400000,,,,,19152000,,,,20087000,,,,,27133000,,,,,,,36439000,,,,,,37963000,,,,,35784000,,,,39091000,,,,,,,37516000,,40796000,40673000,35144000,36290000,34619000,37035000,33709000,35125000,35874000,35375000,29481000,29982000,30650000,28383000,23757000,,25008000,,28452000,,,26803000,,,,27379000
DeferredFederalIncomeTaxExpenseBenefit,,,,,8146000,,,,,5258000,,,,,-4586000,,,,-3824000,,,,,-8661000,,,,,,,447000,,,,,,3382000,,,,,8504000,,,,-9626000,,,,,,,2290000,,,,,47000,,,,-6086000,,,,4587000,,,,,-7544000,,,,,-12585000,,,,-21498000
DeferredFinanceCostsGross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6112000,,,,8167000,8138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredFinanceCostsNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7046000,,,,,6646000,,,,6112000,,,,,,,8068000,,,,,7786000,,,,7505000,,,,7189000,,,,,6918000,,,,,6645000,,,,6374000
DeferredForeignIncomeTaxExpenseBenefit,,,,,-1863000,,,,,-927000,,,,,-79196000,,,,8204000,,,,,-1173000,,,,,,,3428000,,,,,,1809000,,,,,-32391000,,,,11673000,,,,,,,11673000,,,,,1279000,,,,5511000,,,,-5074000,,,,,8292000,,,,,-3478000,,,,2104000
DeferredIncomeTaxAssetsNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34906000,,,,,,,43489000,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,-4502000,2785000,-2441000,7375000,2740000,,-5570000,-1914000,5017000,784000,-10982000,,-1346000,-84962000,737000,-5193000,519000,3720000,,-3687000,-1042000,3454000,-10141000,-2923000,,,7953000,,-9064000,5251000,,,5164000,-5219000,5272000,4858000,5759000,,-3544000,-3749000,-23685000,14065000,-6718000,-7268000,39755000,,4819000,,-2319000,-1686000,,814000,,9662000,-3952000,1388000,1486000,8177000,-9043000,-2884000,-1397000,6955000,-10673000,-5029000,71000,708000,1967000,-5455000,,-1225000,,7487000,-5856000,-14193000,-18649000,10344000,-9894000,-16409000,-24655000
DeferredIncomeTaxLiabilitiesNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34906000,,,,,,,43489000,,46440000,43774000,43778000,58906000,65053000,49906000,51280000,41689000,48419000,50308000,45863000,47849000,50604000,55641000,48542000,,41091000,,45422000,38390000,20885000,21205000,26508000,18675000,8011000,6344000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,,,,1092000,,,,,686000,,,,,-1180000,,,,-660000,,,,,-307000,,,,,,,1376000,,,,,,-333000,,,,,202000,,,,-385000,,,,,,,405000,,,,,160000,,,,-822000,,,,558000,,,,,-1973000,,,,,-2586000,,,,-5261000
DeferredTaxAssetsEquityMethodInvestments,,,,,,,,,,,,,,,,,,,,,3200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsGross,,,,,,,,,,258854000,,,,,247378000,,,,258066000,,,,,257801000,,,,,,,248909000,,,,,,233150000,,,,,251293000,,,,153627000,,,,,,,134133000,,,,,166862000,,,,190881000,,,,184206000,,,,,190153000,,,,,208392000,,,,220030000
DeferredTaxAssetsInventory,,,,,,,,,,3360000,,,,,6262000,,,,4151000,,,,,3938000,,,,,,,4804000,,,,,,911000,,,,,1385000,,,,3433000,,,,,,,3320000,,,,,5599000,,,,0,,,,2818000,,,,,7912000,,,,,8427000,,,,10538000
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,-59784000,,,,,17241000,,,,29999000,,,,,48384000,,,,,,,28932000,,,,,,40400000,,,,,72679000,,,,44027000,,,,,,,23287000,,,,,16848000,,,,32362000,,,,,,,,,,,,,,12260000,,,,31565000
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,-49281000,,,-81696000,-82932000,-89922000,-93485000,-86606000,,-85531000,-85497000,-86798000,-79217000,-80980000,-88300000,,-86591000,-80151000,-79305000,-78924000,-104642000,,,-95674000,,-76607000,71797000,,,-66329000,-62959000,,35669000,,,,,35803000,,,,34906000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsNet,,,,,,,,,,50724000,,,,,123856000,,,,137087000,,,,,150034000,,,,,,,144422000,,,,,,142313000,,,,,169370000,,,,125763000,,,,,,,100905000,,,,,131647000,,,,146430000,,,,129950000,,,,,141179000,,,,,159760000,,,,175110000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,,,,,,,161348000,,,,,146473000,,,,,,,148484000,,,,,,130743000,,,,,104439000,,,,54521000,,,,,,,56867000,,,,,64116000,,,,81912000,,,,83690000,,,,,67249000,,,,,58519000,,,,56180000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,,,,,,,,,,30076000,,,,,34720000,,,,42031000,,,,,51413000,,,,,,,40348000,,,,,,36672000,,,,,37988000,,,,29421000,,,,,,,16228000,,,,,15174000,,,,13883000,,,,10893000,,,,,16308000,,,,,16163000,,,,13351000
